Query,Source,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA
"Stefano Polizzi - Post-Doc University of Bologna","Google Scholar Profile",14,58,7,8.29,4.14,12.55,4.33,4.86,5,7,6,0.89,2,22.38,4.73,4.37,5.10,1.40,"2025-08-05 15:02:07",1.79,0.29,87.9,96.6,0,2018,2024,58,7,6,2,0,3
"Rajan Shrivastava - Postdoctoral Research Associate, Washington University School of Medicine in St. Louis USA","Google Scholar Profile",9,62,14,4.43,6.89,20.95,2.73,3.56,4,7,4,1.33,2,8.74,2.96,2.97,6.24,2.08,"2025-08-05 15:02:07",1.49,0.14,88.7,100.0,0,2011,2025,62,5,1,0,0,2
"Kunalika Jain - Postdoctoral research associate, MOCEL department, University of Geneva, Geneve, Switzerland","Google Scholar Profile",10,65,9,7.22,6.50,13.92,3.14,4.40,4,8,4,0.80,3,19.61,4.43,3.56,6.63,1.43,"2025-08-05 15:02:07",1.54,0.33,92.3,100.0,1,2016,2023,65,4,3,1,0,2
"Ferdinand Horvath - Postdoc, Institute of Science and Technology Austria (ISTA)","Google Scholar Profile",13,69,4,17.25,5.31,9.86,2.81,6.31,3,8,4,0.43,2,19.50,4.42,2.79,7.62,0.57,"2025-08-05 15:02:07",2.46,0.50,97.1,100.0,0,2021,2025,69,4,3,2,0,3
"Liam J. O'Reilly - Postdoctoral Research Associate","Google Scholar Profile",7,73,6,12.17,10.43,16.33,2.42,4.00,5,7,5,1.04,2,22.92,4.79,5.08,6.86,1.09,"2025-08-05 15:02:08",2.72,0.33,98.6,100.0,0,2019,2025,73,6,4,3,0,4
"Wesley Chiang - Postdoc, University of Rochester","Google Scholar Profile",13,78,4,19.50,6.00,14.11,3.65,5.08,6,8,6,1.00,3,36.17,6.01,6.53,6.00,1.55,"2025-08-05 15:02:08",3.52,0.75,92.3,97.4,1,2021,2024,78,8,6,4,0,4
"Aniruddha Chattaraj - Postdoc, Shakhnovich Group, Harvard University","Google Scholar Profile",9,83,6,13.83,9.22,29.58,3.92,2.89,5,9,6,1.56,3,32.33,5.69,12.24,7.35,2.33,"2025-08-05 15:02:08",4.93,0.50,95.2,100.0,0,2019,2025,83,6,6,3,0,4
"Vaishali Sethi - Postdoc","Google Scholar Profile",8,87,14,6.21,10.88,18.87,1.72,5.13,6,8,5,1.16,2,14.11,3.76,2.86,7.00,1.47,"2025-08-05 15:02:09",1.34,0.14,97.7,100.0,0,2011,2021,87,6,3,0,0,3
"Aswin Vinod Muthachikavil - Postdoctoral researcher, Helmholtz Zentrum Dresden","Google Scholar Profile",10,90,5,18.00,9.00,21.48,3.05,4.20,4,9,6,0.89,3,28.83,5.37,6.85,8.06,1.32,"2025-08-05 15:02:09",4.29,0.60,90.0,100.0,0,2020,2025,90,8,5,2,0,4
"Mostafa Nategholeslam - Postdoctoral Research Fellow, University of Guelph","Google Scholar Profile",12,92,15,6.13,7.67,21.23,3.62,4.33,5,9,3,1.09,3,7.82,2.80,1.85,8.00,2.23,"2025-08-05 15:02:09",1.41,0.20,96.7,100.0,0,2010,2016,92,2,1,0,0,1
"Gabriela Garcia-Rodriguez - Postdoctoral researcher, EPFL, Switzerland","Google Scholar Profile",9,100,8,12.50,11.11,17.31,1.53,6.00,6,9,6,1.00,3,23.68,4.87,4.04,7.21,1.53,"2025-08-05 15:02:10",2.16,0.38,88.0,100.0,0,2017,2025,100,8,6,1,0,3
"Aishani Ghosal - Postdoc, University of Illinois Urbana-Champaign","Google Scholar Profile",17,105,10,10.50,6.18,47.83,7.95,2.41,6,10,5,2.57,5,39.89,6.32,16.57,6.63,4.17,"2025-08-05 15:02:10",4.78,0.50,76.2,95.2,1,2015,2025,105,9,5,4,0,4
"Kunaal Joshi - Postdoctoral Research Scholar, Arizona State University","Google Scholar Profile",20,116,7,16.57,5.80,24.39,5.77,4.45,6,10,10,1.06,3,67.79,8.23,14.06,7.00,2.57,"2025-08-05 15:02:10",3.48,0.43,73.3,90.5,2,2018,2025,116,14,11,6,0,5
"Giorgia Ortolani - Post doc in Gothenburg University","Google Scholar Profile",7,126,3,42.00,18.00,16.13,1.82,6.43,4,7,4,0.53,2,64.33,8.02,8.20,10.49,0.54,"2025-08-05 15:02:10",5.37,0.67,100.0,100.0,1,2022,2025,126,4,4,3,1,3
"Rachna Narayanan - Postdoc at Warwick Medical School","Google Scholar Profile",8,138,14,9.86,17.25,28.74,2.67,4.50,5,8,4,1.04,2,21.98,4.69,4.66,10.63,1.31,"2025-08-05 15:02:11",2.05,0.14,100.0,100.0,1,2011,2022,138,5,3,1,0,3
"Subhadip Chakraborti - Post Doctoral Fellow, Friedrich-Alexander-Universität Erlangen-Nürnberg","Google Scholar Profile",14,159,9,17.67,11.36,45.12,5.23,3.21,7,12,8,1.75,5,39.82,6.31,11.00,9.43,3.23,"2025-08-05 15:02:11",5.01,0.56,86.8,99.4,0,2016,2025,159,11,9,4,0,4
"Steven Blaber - Postdoctoral Researcher, University of British Columbia","Google Scholar Profile",13,169,8,21.13,13.00,73.75,7.08,2.23,7,13,6,2.88,5,53.45,7.31,24.48,10.63,3.42,"2025-08-05 15:02:11",9.21,0.63,95.9,100.0,1,2017,2024,169,8,6,3,1,4
"Korak Kumar Ray - Postdoctoral Researcher, MRC-Laboratory of Medical Sciences","Google Scholar Profile",22,196,9,21.78,8.91,40.55,6.17,4.59,8,14,7,1.42,3,65.89,8.12,12.54,11.00,1.95,"2025-08-05 15:02:11",4.50,0.33,94.4,100.0,2,2016,2025,196,10,7,6,0,6
"Bing Fu - Assistant Professor, City University of Hong Kong; postdoc, Cornell University","Google Scholar Profile",15,216,12,18.00,14.40,45.40,4.90,5.07,6,14,7,0.92,3,48.69,6.98,8.55,13.04,1.70,"2025-08-05 15:02:12",3.78,0.25,95.4,100.0,2,2013,2025,216,10,7,5,0,5
"Sakshi Choudhary - Postdoctoral Research Fellow, Department of Chemical Engineering, Ben-Gurion University of Negev","Google Scholar Profile",25,235,9,26.11,9.40,37.60,5.13,5.44,8,15,8,1.25,3,107.67,10.38,15.43,11.45,2.57,"2025-08-05 15:02:12",4.17,0.33,83.0,98.7,2,2016,2025,235,16,11,6,1,5
"Naveen Narayanan - Post doctoral fellow","Google Scholar Profile",18,253,12,21.08,14.06,136.29,6.41,4.56,7,15,7,1.36,4,53.37,7.31,27.60,13.45,3.22,"2025-08-05 15:02:12",11.35,0.33,90.9,100.0,1,2013,2025,253,10,6,3,0,4
"Gembu Maryu - Postdoctoral researcher, University of Michigan","Google Scholar Profile",15,274,9,30.44,18.27,68.27,3.49,5.67,7,15,8,1.23,4,57.88,7.61,13.82,14.73,1.78,"2025-08-05 15:02:12",7.58,0.44,97.1,100.0,2,2016,2025,274,8,8,6,0,5
"Maria Ortega - Postdoctoral researcher, Universidad autónoma de Madrid","Google Scholar Profile",10,294,8,36.75,29.40,47.35,1.87,5.60,8,10,8,1.33,4,46.13,6.79,7.63,14.87,1.88,"2025-08-05 15:02:13",5.91,0.50,96.9,100.0,1,2017,2022,294,10,8,3,0,4
"Tommaso Matteuzzi - Postdoc, University of Firenze","Google Scholar Profile",29,319,9,35.44,11.00,53.26,7.45,4.86,5,17,7,0.76,3,91.73,9.58,15.88,16.43,1.77,"2025-08-05 15:02:13",5.91,0.33,92.5,100.0,2,2016,2025,319,11,7,3,1,4
"Mahdi Zeidi - Postdoc, University of Toronto","Google Scholar Profile",14,679,7,97.00,48.50,166.58,6.92,2.50,9,14,9,3.38,6,121.21,11.01,30.01,24.37,3.83,"2025-08-05 15:02:13",23.79,0.86,99.4,100.0,1,2018,2024,679,10,9,4,1,5
"Siva Kumar - Post Doctoral Fellow","Google Scholar Profile",32,459,15,30.60,14.34,88.43,6.85,5.91,12,21,14,1.97,6,127.27,11.28,23.75,15.43,3.98,"2025-08-05 14:33:03",5.89,0.40,83.2,97.2,4,2010,2025,459,25,16,12,0,7
"Dennis Breitsprecher - Post Doc, Brandeis University","Google Scholar Profile",74,4318,17,254.00,58.35,835.47,17.20,5.04,24,65,21,4.06,14,356.91,18.89,68.82,60.45,5.85,"2025-08-05 14:33:02",49.14,0.82,98.0,100.0,14,2008,2024,4318,29,24,21,3,12
"Rabia Laghmach - Postdoctoral Research Associate, Iowa State University","Google Scholar Profile",32,531,13,40.85,16.59,105.64,9.50,4.22,9,23,10,1.88,7,81.41,9.02,18.54,20.54,3.80,"2025-08-05 14:32:06",8.12,0.54,94.7,100.0,2,2012,2024,531,12,11,7,0,6
"Jesse Eunsuk Jun - Postdoctoral Researcher, University of California, San Francisco","Google Scholar Profile",16,970,26,37.31,60.63,200.73,4.37,4.94,7,16,7,1.36,6,47.22,6.87,10.31,30.25,2.00,"2025-08-05 14:31:57",7.72,0.23,99.4,100.0,1,1999,2013,970,7,7,5,0,5
"Burak Cetin - Postdoctoral researcher","Google Scholar Profile",8,241,5,48.20,30.13,37.37,3.13,4.25,4,8,4,0.67,4,55.67,7.46,9.34,15.00,1.04,"2025-08-05 14:31:51",7.47,0.80,100.0,100.0,2,2020,2022,241,4,4,3,2,4
"Sandip Das - Post Doctoral Fellow, University of Haifa","Google Scholar Profile",7,11,6,1.83,1.57,5.00,3.75,2.14,2,3,2,0.67,1,2.17,1.47,0.92,2.65,0.75,"2025-08-05 14:31:41",0.83,0.17,100.0,100.0,0,2019,2024,11,1,0,0,0,1
"Aiswarya N M - Post Doctoral Researcher, Department of Physics, University of Tokyo","Google Scholar Profile",3,7,3,2.33,2.33,1.40,0.60,5.00,1,2,1,0.20,1,2.33,1.53,0.47,2.45,0.20,"2025-08-05 14:31:32",0.46,0.33,100.0,100.0,0,2022,2024,7,1,1,0,0,1
"Silverio Johnson - Postdoctoral Researcher, Syracuse University","Google Scholar Profile",13,5,5,1.00,0.38,1.48,3.15,4.92,1,2,1,0.33,1,4.20,2.05,1.36,1.73,0.48,"2025-08-05 14:31:28",0.29,0.20,80.0,100.0,0,2020,2025,5,1,1,0,0,1
"Jaladhar Mahato - Postdoc, Columbia University","Google Scholar Profile",19,1012,9,112.44,53.26,137.24,4.39,5.42,10,19,8,1.61,3,201.68,14.20,27.37,29.75,2.61,"2025-08-05 14:31:26",15.24,0.33,97.3,100.0,2,2016,2024,1012,16,8,3,2,3
"T.G. Mythri - Postdoctoral Research Fellow, Michigan State University","Google Scholar Profile",5,2,3,0.67,0.40,0.34,2.01,3.80,1,1,1,0.20,0,1.33,1.15,0.25,0.00,0.34,"2025-08-05 14:31:17",0.11,0.00,50.0,50.0,0,2022,2025,2,1,0,0,0,1
"Michael Currie - Postdoctoral Research Fellow, Harvard Medical School","Google Scholar Profile",16,111,7,15.86,6.94,16.21,3.32,6.31,6,10,6,0.86,2,40.31,6.35,5.91,7.75,1.74,"2025-08-05 14:31:13",2.31,0.29,86.5,97.3,2,2018,2025,111,10,6,2,0,4
"Zhongya Lin - Postdoc, Tsinghua University; PhD, Peking University","Google Scholar Profile",17,300,8,37.50,17.65,68.49,4.45,4.82,9,17,9,1.65,4,105.66,10.28,19.14,14.11,2.62,"2025-08-05 14:31:12",8.56,0.50,93.3,100.0,4,2017,2025,300,14,12,7,2,6
"Gemma LM Fisher - Postdoctoral Research Scientist, MRC London Institute of Medical Sciences","Google Scholar Profile",21,259,10,25.90,12.33,41.85,4.44,5.81,8,16,8,1.25,4,45.49,6.74,7.54,13.82,1.44,"2025-08-05 14:31:10",4.18,0.40,98.5,100.0,1,2015,2021,259,8,8,2,0,4
"Ana Lucía Campaña - Post-Doctoral research fellow, Universitetet i Oslo","Google Scholar Profile",20,269,8,33.63,13.45,49.56,5.75,4.85,7,16,8,1.20,3,68.75,8.29,14.63,13.96,2.19,"2025-08-05 14:31:02",6.19,0.38,90.7,100.0,2,2017,2024,269,11,8,4,1,4
"Sriram Tiruvadi Krishnan - Post-doctoral researcher","Google Scholar Profile",24,276,15,18.40,11.50,52.95,5.29,5.42,9,16,7,1.62,5,59.28,7.70,11.24,13.75,1.90,"2025-08-05 14:30:51",3.53,0.33,97.8,100.0,2,2010,2025,276,9,7,6,0,5
"Pedro Leonidas Oseliero Filho - Post Doctoral, Physics Institute, University of São Paulo","Google Scholar Profile",29,290,14,20.71,10.00,55.21,6.00,5.21,10,17,10,1.75,4,54.04,7.35,10.02,12.73,2.59,"2025-08-05 14:30:50",3.94,0.29,90.3,100.0,0,2011,2025,290,15,13,2,0,4
"Abin Biswas - Postdoc, Max Planck Institute for the Science of Light","Google Scholar Profile",26,297,15,19.80,11.42,50.31,5.38,5.88,9,17,9,1.47,5,64.61,8.04,10.86,13.78,2.44,"2025-08-05 14:30:48",3.35,0.33,91.2,100.0,1,2010,2025,297,14,10,6,0,6
"Pier Nicola Sergi - Post Doc Fellow, Biorobotics Institute, Scuola Superiore Sant'Anna","Google Scholar Profile",38,309,21,14.71,8.13,86.86,12.38,3.95,13,17,7,3.38,6,33.63,5.80,10.37,9.06,4.74,"2025-08-05 14:30:47",4.13,0.29,81.2,94.5,0,2004,2024,309,16,7,0,0,3
"Asli Yildirim - Postdoctoral Researcher, UCLA","Google Scholar Profile",19,332,13,25.54,17.47,69.41,5.73,5.11,10,18,10,1.69,5,97.23,9.86,17.13,14.28,2.83,"2025-08-05 14:30:36",5.33,0.38,91.6,100.0,3,2012,2025,332,12,10,7,1,6
"Lucia Baldauf - Postdoctoral researcher, University College London","Google Scholar Profile",22,352,9,39.11,16.00,58.78,4.59,5.77,9,18,12,1.50,5,119.40,10.93,19.82,15.56,2.38,"2025-08-05 14:30:35",6.53,0.56,91.8,100.0,4,2016,2024,352,14,14,7,1,6
"Sandrine Coquille - Postdoc in crystallography, Institut de Biologie Structurale (IBS), Grenoble, France","Google Scholar Profile",16,369,19,19.42,23.06,78.45,5.37,4.50,8,16,7,1.68,6,38.92,6.24,7.51,17.23,2.22,"2025-08-05 14:30:33",4.12,0.32,97.8,100.0,1,2006,2025,369,11,6,3,0,3
"Nikos Maniotis - Postdoctoral researcher , Aristotle University of Thessaloniki","Google Scholar Profile",31,435,9,48.33,14.03,90.41,10.05,4.32,10,20,12,1.96,5,92.04,9.59,21.64,16.73,3.18,"2025-08-05 14:30:32",10.04,0.56,87.4,99.1,1,2016,2025,435,19,15,7,0,6
"Gabriel Costa Alverni da Hora - Postdoc Research Associate, University of Utah","Google Scholar Profile",30,493,13,37.92,16.43,89.14,8.08,4.70,12,22,12,2.12,6,119.99,10.95,22.12,17.26,3.80,"2025-08-05 14:30:23",6.85,0.46,89.7,100.0,4,2012,2025,493,19,15,10,1,6
"Jaie Woodard - Postdoctoral researcher, University of Michigan","Google Scholar Profile",26,601,16,37.56,23.12,121.05,7.07,4.77,10,24,10,1.96,6,81.00,9.00,17.20,21.38,3.32,"2025-08-05 14:30:21",7.56,0.38,92.7,100.0,2,2009,2025,601,16,13,5,1,5
"Fruzsina Hobor - Postdoctoral Research associate, University College London","Google Scholar Profile",29,794,17,46.71,27.38,116.97,4.42,6.76,14,28,13,1.98,7,109.34,10.46,15.90,23.58,2.78,"2025-08-05 14:30:20",6.88,0.41,94.7,100.0,3,2008,2022,794,17,15,5,0,5
"Björn Hellenkamp - Postdoc, Columbia University","Google Scholar Profile",22,1224,15,81.60,55.64,231.34,6.54,5.14,11,22,10,1.89,7,171.55,13.10,30.89,32.91,3.20,"2025-08-05 14:30:19",15.42,0.47,98.4,100.0,5,2010,2024,1224,12,11,8,1,8
"Andy Lee - Post Doctoral Research Fellow, University of Leeds","Google Scholar Profile",22,345,12,28.75,15.68,69.21,6.36,4.36,8,18,6,1.52,6,49.19,7.01,10.23,16.34,2.33,"2025-08-05 14:30:18",5.76,0.50,95.9,100.0,1,2013,2023,345,10,6,1,1,4
"Eli N. Weinstein - Postdoctoral Research Scientist, Data Science Institute, Columbia University","Google Scholar Profile",18,751,9,83.44,41.72,153.04,5.58,4.44,8,18,12,1.52,6,286.79,16.93,61.60,25.44,4.78,"2025-08-05 14:30:17",17.00,0.67,94.7,100.0,5,2016,2024,751,16,13,7,1,6
